Algo,GraphSize,PQType,Result_ms
Prims,88,LL,14.58640000782907
AStar,89,BMH,0.5828000139445066
AStar,89,LL,0.5620000010821968
Prims,89,BMH,9.622399986255914
Prims,89,LL,10.47060001292266
AStar,90,BMH,0.6312000041361898
AStar,90,LL,0.5760999920312315
Prims,90,BMH,7.8292000107467175
Prims,90,LL,11.375199974281713
AStar,91,BMH,0.599299994064495
AStar,91,LL,0.5409000150393695
Prims,91,BMH,8.749500004341826
Prims,91,LL,12.5343999825418
AStar,92,BMH,1.510500005679205
AStar,92,LL,1.4955000078771263
Prims,92,BMH,7.8307000221684575
Prims,92,LL,11.330599983921275
AStar,93,BMH,0.5993999948259443
AStar,93,LL,0.5457999941427261
Prims,93,BMH,7.890200009569526
Prims,93,LL,13.361599994823337
AStar,94,BMH,0.5784999812021852
AStar,94,LL,0.5930999759584665
Prims,94,BMH,8.037099993089214
Prims,94,LL,13.492099998984486
AStar,95,BMH,1.0065000096801668
AStar,95,LL,1.211499999044463
Prims,95,BMH,11.980999988736585
Prims,95,LL,15.115799993509427
AStar,96,BMH,0.7530000002589077
AStar,96,LL,0.7411999977193773
Prims,96,BMH,9.956099995179102
Prims,96,LL,15.217300009680912
AStar,97,BMH,0.7221999985631555
AStar,97,LL,0.8171000226866454
Prims,97,BMH,16.769200010458007
Prims,97,LL,20.241399994120002
AStar,98,BMH,0.7681999995838851
AStar,98,LL,0.7551999879069626
Prims,98,BMH,9.862400009296834
Prims,98,LL,20.775500015588477
AStar,99,BMH,1.091100013582036
AStar,99,LL,0.8874000050127506
Prims,99,BMH,16.386199975386262
Prims,99,LL,26.091699983226135
AStar,100,BMH,0.7628999883309007
AStar,100,LL,0.6415999960154295
Prims,100,BMH,16.55390000087209
Prims,100,LL,27.11339999223128
AStar,101,BMH,0.6348000024445355
AStar,101,LL,0.7364999910350889
Prims,101,BMH,9.265700005926192
Prims,101,LL,14.131999982055277
AStar,102,BMH,0.6581000052392483
AStar,102,LL,0.6312000041361898
Prims,102,BMH,9.119099995587021
Prims,102,LL,13.941499986685812
AStar,103,BMH,0.611299998126924
AStar,103,LL,0.7671999919693917
Prims,103,BMH,11.76100000157021
Prims,103,LL,16.792999987956136
AStar,104,BMH,0.7009000109974295
AStar,104,LL,0.6381999992299825
Prims,104,BMH,17.29499999783002
Prims,104,LL,17.464200005633757
AStar,105,BMH,2.8144999814685434
AStar,105,LL,3.0163000046741217
Prims,105,BMH,9.976200002711266
Prims,105,LL,16.17170000099577
AStar,106,BMH,0.9071000094991177
AStar,106,LL,0.8860999951139092
Prims,106,BMH,9.412399987922981
Prims,106,LL,14.761599974008277
AStar,107,BMH,0.6482000171672553
AStar,107,LL,0.6604999944102019
Prims,107,BMH,9.449500008486211
Prims,107,LL,16.14059999701567
AStar,108,BMH,0.6273000035434961
AStar,108,LL,0.5804999964311719
Prims,108,BMH,9.756800020113587
Prims,108,LL,15.542699984507635
AStar,109,BMH,0.5938000103924423
AStar,109,LL,0.6121000042185187
Prims,109,BMH,9.731900005135685
Prims,109,LL,16.199300007428974
AStar,110,BMH,0.8045000140555203
AStar,110,LL,0.7826999935787171
Prims,110,BMH,10.121300001628697
Prims,110,LL,17.138600000180304
AStar,111,BMH,1.3394999841693789
AStar,111,LL,1.3190000026952475
Prims,111,BMH,12.156100012362003
Prims,111,LL,19.21800000127405
AStar,112,BMH,0.6233000021893531
AStar,112,LL,0.6001000001560897
Prims,112,BMH,10.424899985082448
Prims,112,LL,21.29779997630976
AStar,113,BMH,0.735800014808774
AStar,113,LL,0.7207999879028648
Prims,113,BMH,12.30030000442639
Prims,113,LL,17.987200000789016
AStar,114,BMH,0.6996000010985881
AStar,114,LL,0.7052000146359205
Prims,114,BMH,10.808799997903407
Prims,114,LL,18.689599994104356
AStar,115,BMH,0.8682000043336302
AStar,115,LL,0.7480000203941017
Prims,115,BMH,10.482200013939291
Prims,115,LL,17.523299989989027
AStar,116,BMH,0.7995000050868839
AStar,116,LL,0.7711999933235347
Prims,116,BMH,10.597099986625835
Prims,116,LL,17.966599989449605
AStar,117,BMH,0.7336999988183379
AStar,117,LL,0.6774999783374369
Prims,117,BMH,10.85869999951683
Prims,117,LL,18.910900020273402
AStar,118,BMH,0.7347000064328313
AStar,118,LL,0.7158999796956778
Prims,118,BMH,10.942399996565655
Prims,118,LL,18.583099998068064
AStar,119,BMH,0.8127999899443239
AStar,119,LL,0.7152000034693629
Prims,119,BMH,12.643800000660121
Prims,119,LL,21.629399998346344
AStar,120,BMH,2.0136999955866486
AStar,120,LL,1.9232999766245484
Prims,120,BMH,11.714299995219335
Prims,120,LL,19.54379997914657
AStar,121,BMH,0.8464000129606575
AStar,121,LL,0.8006000134628266
Prims,121,BMH,11.483499984024093
Prims,121,LL,21.15139999659732
AStar,122,BMH,0.7034000009298325
AStar,122,LL,0.6447999912779778
Prims,122,BMH,11.996999994153157
Prims,122,LL,21.555399987846613
AStar,123,BMH,0.762099982239306
AStar,123,LL,0.7428999815601856
Prims,123,BMH,11.692500003846362
Prims,123,LL,20.594600006006658
AStar,124,BMH,0.7749999931547791
AStar,124,LL,0.7202000124379992
Prims,124,BMH,13.447899982566014
Prims,124,LL,21.232099999906495
AStar,125,BMH,2.892799995606765
AStar,125,LL,2.7227000100538135
Prims,125,BMH,11.735099978977814
Prims,125,LL,21.853000012924895
AStar,126,BMH,0.7828999951016158
AStar,126,LL,0.7763000030536205
Prims,126,BMH,11.92399999126792
Prims,126,LL,21.161500015296042
AStar,127,BMH,0.7892999856267124
AStar,127,LL,0.7613000052515417
Prims,127,BMH,11.926100007258356
Prims,127,LL,22.53069999278523
AStar,128,BMH,0.8114999800454825
AStar,128,LL,0.7804000051692128
Prims,128,BMH,12.317400018218905
Prims,128,LL,23.72070000274107
AStar,129,BMH,0.9172999998554587
AStar,129,LL,1.0092000011354685
Prims,129,BMH,12.621199974091724
Prims,129,LL,22.357800015015528
AStar,130,BMH,0.7341000018641353
AStar,130,LL,0.6797000241931528
Prims,130,BMH,12.429800000973046
Prims,130,LL,23.186400008853525
AStar,131,BMH,0.8830000006128103
AStar,131,LL,0.8581000147387385
Prims,131,BMH,13.21890001418069
Prims,131,LL,25.96219998667948
AStar,132,BMH,0.9061999735422432
AStar,132,LL,0.8229999803006649
Prims,132,BMH,12.365200003841892
Prims,132,LL,21.890000003622845
AStar,133,BMH,0.9608999826014042
AStar,133,LL,0.9391999919898808
Prims,133,BMH,12.699599988991395
Prims,133,LL,22.950599988689646
AStar,134,BMH,0.8981999999377877
AStar,134,LL,0.7353000110015273
Prims,134,BMH,12.940999993588775
Prims,134,LL,24.89969998714514
AStar,135,BMH,0.8359999919775873
AStar,135,LL,0.8182000019587576
Prims,135,BMH,13.474599982146174
Prims,135,LL,23.863900016294792
AStar,136,BMH,0.7781999884173274
AStar,136,LL,0.7204000139608979
Prims,136,BMH,13.65879998775199
Prims,136,LL,24.62860001833178
AStar,137,BMH,0.8846000127959996
AStar,137,LL,0.8963999862316996
Prims,137,BMH,13.799200009088963
Prims,137,LL,22.827400011010468
AStar,138,BMH,0.7723000016994774
AStar,138,LL,0.7551000162493438
Prims,138,BMH,13.507299998309463
Prims,138,LL,27.124499989440665
AStar,139,BMH,1.053999993018806
AStar,139,LL,0.9409000049345195
Prims,139,BMH,14.326500007882714
Prims,139,LL,28.351300017675385
AStar,140,BMH,0.9524000051897019
AStar,140,LL,0.9189000120386481
Prims,140,BMH,14.494400005787611
Prims,140,LL,26.516599988099188
AStar,141,BMH,1.0491999855730683
AStar,141,LL,0.9228000126313418
Prims,141,BMH,14.045899995835498
Prims,141,LL,26.547999994363636
AStar,142,BMH,0.9417999826837331
AStar,142,LL,0.9269999864045531
Prims,142,BMH,14.35519999358803
Prims,142,LL,32.71820000372827
AStar,143,BMH,0.7031999994069338
AStar,143,LL,1.0927999974228442
Prims,143,BMH,14.877700014039874
Prims,143,LL,29.28069999325089
AStar,144,BMH,0.8930999902077019
AStar,144,LL,0.8639000006951392
Prims,144,BMH,14.539700001478195
Prims,144,LL,37.13589999824762
AStar,145,BMH,0.893999997060746
AStar,145,LL,0.9785000002011657
Prims,145,BMH,18.1262000114657
Prims,145,LL,32.60859998408705
AStar,146,BMH,0.9592999995220453
AStar,146,LL,1.9576000049710274
Prims,146,BMH,17.593399999896064
Prims,146,LL,35.47430000617169
AStar,147,BMH,0.9979000024031848
AStar,147,LL,0.8779999916441739
Prims,147,BMH,21.545199997490272
Prims,147,LL,41.498899983707815
AStar,148,BMH,3.3631999976933002
AStar,148,LL,4.430600005434826
Prims,148,BMH,18.84299999801442
Prims,148,LL,35.031699982937425
AStar,149,BMH,8.390999981202185
AStar,149,LL,5.5936000135261565
Prims,149,BMH,18.9881999976933
Prims,149,LL,31.680299987783656
AStar,150,BMH,0.9473999962210655
AStar,150,LL,0.889600021764636
Prims,150,BMH,15.451500017661601
Prims,150,LL,34.01580001809634
AStar,151,BMH,1.0323000024072826
AStar,151,LL,0.759899994591251
Prims,151,BMH,16.627299977699295
Prims,151,LL,31.348699994850904
AStar,152,BMH,0.9262000094167888
AStar,152,LL,0.902600004337728
Prims,152,BMH,15.594500000588596
Prims,152,LL,32.092300010845065
